"name","month","dnoc","bugfixes"
"dev79","2011-07",1,0
"dev50","2011-07",2,1
"dev1","2011-08",10,0
"dev79","2011-08",3,0
"dev9","2011-08",2,0
"dev1","2011-09",1,1
"dev1","2011-10",4,0
"dev79","2011-10",2,0
"dev79","2011-11",4,0
"dev1","2011-11",4,1
"dev1","2011-12",7,2
"dev79","2011-12",3,0
"dev79","2012-01",2,1
"dev1","2012-01",13,0
"dev1","2012-02",21,6
"dev79","2012-02",11,2
"dev1","2012-05",11,1
"dev1","2012-03",4,0
"dev50","2012-03",2,0
"dev79","2012-03",23,3
"dev1","2012-04",13,1
"dev79","2012-04",7,0
"dev49","2012-05",0,6
"dev79","2012-06",1,1
"dev1","2012-06",13,1
"dev50","2012-06",0,1
"dev79","2012-07",2,2
"dev50","2012-07",3,2
"dev1","2012-08",1,0
"dev50","2012-08",11,2
"dev79","2012-08",2,0
"dev9","2012-08",11,0
"dev50","2012-09",2,0
"dev1","2012-11",1,0
"dev1","2012-12",0,2
"dev1","2013-01",5,2
"dev10","2013-01",4,1
"dev10","2013-02",2,2
"dev1","2013-03",9,2
"dev10","2013-03",12,4
"dev79","2013-03",7,2
"dev9","2013-03",1,0
"dev50","2013-03",2,3
"dev9","2013-04",1,0
"dev10","2013-04",2,0
"dev79","2013-04",1,0
"dev78","2013-05",2,0
"dev10","2013-05",7,3
"dev1","2013-05",1,2
"dev79","2013-05",0,1
"dev1","2013-06",3,2
"dev1","2013-07",3,0
"dev79","2013-07",1,0
"dev9","2013-08",0,1
"dev1","2013-08",5,3
"dev1","2013-09",6,0
"dev1","2013-10",2,0
"dev1","2013-11",2,0
"dev1","2013-12",13,2
"dev10","2013-12",11,1
"dev78","2013-12",1,0
"dev50","2013-12",2,0
"dev1","2014-01",26,6
"dev1","2014-02",1,1
"dev1","2014-03",21,3
"dev10","2014-03",2,1
"dev10","2014-04",17,2
"dev78","2014-04",6,1
"dev10","2014-05",1,1
"dev1","2014-05",6,2
"dev1","2014-06",5,1
"dev1","2014-07",11,5
